timestamp,day,product,side,trade_class,price,quantity,mid_0,bid_1,ask_1,spread_0,buyer,seller,markout_h1,next_mid_move_h1,same_side_move_h1,opp_side_move_h1,markout_h5,next_mid_move_h5,same_side_move_h5,opp_side_move_h5,markout_h10,next_mid_move_h10,same_side_move_h10,opp_side_move_h10,markout_h20,next_mid_move_h20,same_side_move_h20,opp_side_move_h20
28800,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12035.0,4,12028.5,12022,12035,13,,,-5.0,1.5,3,0,-11.0,-4.5,-10,1,-5.5,1.0,1,1,-4.5,2.0,2,2
31700,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12035.0,4,12036.5,12035,12038,3,,,3.5,5.0,10,0,2.5,4.0,9,-1,1.0,2.5,9,-4,1.5,3.0,8,-2
54300,0,ASH_COATED_OSMIUM,buy,external_trade,10004.0,4,9996.0,9988,10004,16,,,-8.0,0.0,0,0,-8.0,0.0,0,0,-8.0,0.0,0,0,-8.0,0.0,0,0
54800,0,ASH_COATED_OSMIUM,buy,external_trade,10004.0,10,9996.0,9988,10004,16,,,-6.5,1.5,3,0,-8.0,0.0,0,0,0.0,8.0,0,,-8.0,0.0,0,0
59600,0,ASH_COATED_OSMIUM,buy,external_trade,10002.0,7,9994.0,9986,10002,16,,,-8.0,0.0,0,0,-7.0,1.0,1,1,-7.0,1.0,1,1,3.0,11.0,3,
65600,0,ASH_COATED_OSMIUM,sell,external_trade,9995.0,4,10001.5,9995,10008,13,,,-6.0,0.5,-3,4,-2.0,4.5,6,3,-2.0,4.5,6,3,3.5,10.0,6,14
66100,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12060.0,7,12066.5,12060,12073,13,,,-8.0,-1.5,0,-3,-8.0,-1.5,0,-3,-6.0,0.5,2,-1,-8.5,-2.0,-2,-2
70500,0,INTARIAN_PEPPER_ROOT,buy,external_trade,12064.0,1,12080.0,,12080,,,,6.5,-9.5,-3,,7.0,-9.0,-2,,14.0,-2.0,-2,,8.5,-7.5,-1,
73800,0,ASH_COATED_OSMIUM,sell,external_trade,9994.0,5,10002.0,9994,10010,16,,,-8.0,0.0,0,0,-9.0,-1.0,0,-2,-6.5,1.5,3,0,-7.0,1.0,1,1
76200,0,ASH_COATED_OSMIUM,sell,external_trade,9993.0,7,10001.0,9993,10009,16,,,-9.5,-1.5,0,-3,-10.0,-2.0,-2,-2,-10.0,-2.0,-2,-2,-13.0,-5.0,-10,0
79700,0,ASH_COATED_OSMIUM,buy,external_trade,10004.0,2,9998.0,9992,10004,12,,,-2.5,3.5,8,-1,-2.0,4.0,6,2,-2.0,4.0,6,2,-5.0,1.0,3,-1
92400,0,INTARIAN_PEPPER_ROOT,sell,external_trade,12086.0,5,12094.0,12086,12102,16,,,-6.5,1.5,0,3,-8.0,0.0,0,0,-1.0,7.0,-1,,-8.5,-0.5,-2,1
93300,0,ASH_COATED_OSMIUM,sell,external_trade,9994.0,2,10002.0,9994,10010,16,,,-9.0,-1.0,0,-2,-7.0,1.0,1,1,-7.5,0.5,3,-2,-14.0,-6.0,,2
