eid,mode,ts_or_start,ts_or_end,product,intent_action,intent_orders,py_buy_qty,py_sell_qty,py_n_fills,rust_buy_qty,rust_sell_qty,rust_n_fills,off_buy_qty,off_sell_qty,off_n_fills,divergence_py_vs_rust,divergence_local_vs_official
E00_IDLE_A,range,0,999,,IDLE_MARK,,0,0,0,0,0,0,,,,no,pending_official
E01_CROSS_ASK_TOP,single_ts,1000,1000,HYDROGEL_PACK,BUY,10028x1,1,0,1,1,0,1,,,,no,pending_official
E02_CROSS_BID_TOP,single_ts,1100,1100,HYDROGEL_PACK,SELL,10011x-1,0,1,1,0,1,1,,,,no,pending_official
E03_FLATTEN_H,single_ts,1200,1200,HYDROGEL_PACK,FLAT_NOOP,0x0,0,0,0,0,0,0,,,,no,pending_official
E04_CROSS_ASK_TOP_VE,single_ts,1400,1400,VELVETFRUIT_EXTRACT,BUY,5267x1,1,0,1,1,0,1,,,,no,pending_official
E05_FLATTEN_VE,single_ts,1500,1500,VELVETFRUIT_EXTRACT,FLAT_SELL,5261x-1,0,1,1,0,1,1,,,,no,pending_official
E06_WATERFALL_SUM3,single_ts,2000,2000,HYDROGEL_PACK,BUY,10030x35,35,0,2,35,0,2,,,,no,pending_official
E07_WATERFALL_EXCESS,single_ts,2100,2100,HYDROGEL_PACK,BUY,10078x57,37,0,2,37,0,2,,,,no,pending_official
E08_FLATTEN_H,single_ts,2200,2200,HYDROGEL_PACK,FLAT_SELL,10008x-72,0,10,1,0,10,1,,,,no,pending_official
E09_RESTING_BELOW_BB,range,3000,3499,VELVETFRUIT_EXTRACT,BUY_RESTING,5267x5,0,0,0,0,0,0,,,,no,pending_official
E10_RESTING_JOIN_BB,range,3500,3999,VELVETFRUIT_EXTRACT,BUY_RESTING,5271x5,0,0,0,0,0,0,,,,no,pending_official
E11_FLATTEN_VE,single_ts,4000,4000,VELVETFRUIT_EXTRACT,FLAT_NOOP,0x0,0,0,0,0,0,0,,,,no,pending_official
E12_POSLIMIT_OVER1,single_ts,4200,4200,VEV_6500,BUY,1x301,0,0,0,0,0,0,,,,no,pending_official
E13_POSLIMIT_EXACT,single_ts,4300,4300,VEV_6500,BUY,1x300,17,0,1,17,0,1,,,,no,pending_official
E14_POSLIMIT_AGG,single_ts,4400,4400,VEV_6500,BUY_DUAL,"1x144,1x144",0,0,0,0,0,0,,,,no,pending_official
E15_FLATTEN_V65,single_ts,4500,4500,VEV_6500,FLAT_SELL,-1x-17,0,16,1,0,16,1,,,,no,pending_official
E16_SELFCROSS,single_ts,5000,5000,VEV_6500,SELF_CROSS,"6x3,-5x-3",3,3,2,3,3,2,,,,no,pending_official
E17_FLATTEN_V65,single_ts,5100,5100,VEV_6500,FLAT_SELL,-1x-1,0,1,1,0,1,1,,,,no,pending_official
E18_QTY_ZERO,single_ts,5300,5300,VEV_6500,BUY_ZERO_QTY,1x0,0,0,0,0,0,0,,,,no,pending_official
E19_DUPLICATE_BUY,single_ts,5400,5400,VEV_6500,BUY_DUPLICATE,"1x2,1x2",4,0,2,4,0,2,,,,no,pending_official
E20_FLATTEN_V65,single_ts,5500,5500,VEV_6500,FLAT_SELL,-1x-4,0,4,1,0,4,1,,,,no,pending_official
E21_PRICE_ZERO_BUY,single_ts,6000,6000,VEV_6500,BUY,0x1,0,0,0,0,0,0,,,,no,pending_official
E22_SELL_AT_ZERO,single_ts,6100,6100,VEV_6500,SELL,0x-1,0,1,1,0,1,1,,,,no,pending_official
E23_FLATTEN_V65,single_ts,6200,6200,VEV_6500,FLAT_BUY,2x1,1,0,1,1,0,1,,,,no,pending_official
E24_RESTING_ABOVE_BA,range,7000,7499,VELVETFRUIT_EXTRACT,SELL_RESTING,5272x-5,0,0,0,0,0,0,,,,no,pending_official
E25_FLATTEN_VE,single_ts,7500,7500,VELVETFRUIT_EXTRACT,FLAT_NOOP,0x0,0,0,0,0,0,0,,,,no,pending_official
E26_WIDE_RESTING_H,range,8000,8499,HYDROGEL_PACK,WIDE_QUOTE,"9989x3,10035x-3",0,0,0,0,0,0,,,,no,pending_official
E27_FLATTEN_H,single_ts,8500,8500,HYDROGEL_PACK,FLAT_SELL,10009x-62,0,14,1,0,14,1,,,,no,pending_official
E28_IDLE_END,range,9000,9999,,IDLE_MARK,,0,0,0,0,0,0,,,,no,pending_official
